iso,cpi,Year
LKA,3.2,2010
SWZ,3.2,2010
BFA,3.1,2010
EGY,3.1,2010
MEX,3.1,2010
DOM,3.0,2010
STP,3.0,2010
TON,3.0,2010
ZMB,3.0,2010
DZA,2.9,2010
ARG,2.9,2010
KAZ,2.9,2010
MDA,2.9,2010
SEN,2.9,2010
BEN,2.8,2010
BOL,2.8,2010
GAB,2.8,2010
IDN,2.8,2010
KSV,2.8,2010
SLB,2.8,2010
ETH,2.7,2010
GUY,2.7,2010
MLI,2.7,2010
MNG,2.7,2010
MOZ,2.7,2010
TZA,2.7,2010
VNM,2.7,2010
ARM,2.6,2010
ERI,2.6,2010
MDG,2.6,2010
NER,2.6,2010
BLR,2.5,2010
ECU,2.5,2010
LBN,2.5,2010
NIC,2.5,2010
SYR,2.5,2010
TLS,2.5,2010
UGA,2.5,2010
AZE,2.4,2010
BGD,2.4,2010
HND,2.4,2010
NGA,2.4,2010
PHL,2.4,2010
TGO,2.4,2010
UKR,2.4,2010
ZWE,2.4,2010
SLE,2.4,2010
MDV,2.3,2010
MRT,2.3,2010
PAK,2.3,2010
CMR,2.2,2010
CIV,2.2,2010
HTI,2.2,2010
IRN,2.2,2010
LBY,2.2,2010
NPL,2.2,2010
PRY,2.2,2010
YEM,2.2,2010
RUS,2.1,2010
KHM,2.1,2010
TJK,2.1,2010
PNG,2.1,2010
CAF,2.1,2010
COM,2.1,2010
COG,2.1,2010
GNB,2.1,2010
KEN,2.1,2010
LAO,2.1,2010
GIN,2.0,2010
COD,2.0,2010
KGZ,2.0,2010
AGO,1.9,2010
GNQ,1.9,2010
BDI,1.8,2010
TCD,1.7,2010
SDN,1.6,2010
TKM,1.6,2010
UZB,1.6,2010
VEN,1.5,2010
IRQ,1.5,2010
AFG,1.4,2010
MMR,1.4,2010
SOM,1.1,2010
DNK,9.1,2015
NZL,9.1,2015
FIN,9.0,2015
SWE,8.9,2015
NOR,8.8,2015
CHE,8.6,2015
LUX,8.5,2015
SGP,8.5,2015
NLD,8.4,2015
CAN,8.3,2015
DEU,8.1,2015
GBR,8.1,2015
AUS,7.9,2015
ISL,7.9,2015
BEL,7.7,2015
AUT,7.6,2015
USA,7.6,2015
HKG,7.5,2015
IRL,7.5,2015
JPN,7.5,2015
URY,7.4,2015
QAT,7.1,2015
CHL,7.0,2015
EST,7.0,2015
FRA,7.0,2015
ARE,7.0,2015
BTN,6.5,2015
PRT,6.4,2015
BWA,6.3,2015
POL,6.3,2015
TWN,6.2,2015
CYP,6.1,2015
ISR,6.1,2015
MLT,6.0,2015
SVN,6.0,2015
LTU,5.9,2015
ESP,5.8,2015
CZE,5.6,2015
LVA,5.6,2015
CPV,5.5,2015
CRI,5.5,2015
SYC,5.5,2015
KOR,5.4,2015
RWA,5.4,2015
JOR,5.3,2015
MUS,5.3,2015
NAM,5.3,2015
GEO,5.2,2015
SAU,5.2,2015
BHR,5.1,2015
HRV,5.1,2015
HUN,5.1,2015
SVK,5.1,2015
MYS,5.0,2015
KWT,4.9,2015
CUB,4.7,2015
GHA,4.7,2015
GRC,4.6,2015
ROM,4.6,2015
OMN,4.5,2015
ITA,4.4,2015
LSO,4.4,2015
MON,4.4,2015
SEN,4.4,2015
ZAF,4.4,2015
STP,4.2,2015
MKD,4.2,2015
TUR,4.2,2015
BGR,4.1,2015
JAM,4.1,2015
SCG,4.0,2015
SLV,3.9,2015
MNG,3.9,2015
PAN,3.9,2015
TTO,3.9,2015
BIH,3.8,2015
BRA,3.8,2015
BFA,3.8,2015
IND,3.8,2015
THA,3.8,2015
TUN,3.8,2015
ZMB,3.8,2015
BEN,3.7,2015
CHN,3.7,2015
COL,3.7,2015
LBR,3.7,2015
LKA,3.7,2015
ALB,3.6,2015
DZA,3.6,2015
EGY,3.6,2015
IDN,3.6,2015
MAR,3.6,2015
PER,3.6,2015
SUR,3.6,2015
ARM,3.5,2015
MLI,3.5,2015
PHL,3.5,2015
BOL,3.4,2015
DJI,3.4,2015
GAB,3.4,2015
NER,3.4,2015
DOM,3.3,2015
ETH,3.3,2015
LWI,3.3,2015
MDA,3.3,2015
ARG,3.2,2015
BLR,3.2,2015
CIV,3.2,2015
ECU,3.2,2015
TGO,3.2,2015
HND,3.1,2015
MWI,3.1,2015
MRT,3.1,2015
MEX,3.1,2015
MOZ,3.1,2015
VNM,3.1,2015
PAK,3.0,2015
TZA,3.0,2015
AZE,2.9,2015
GUY,2.9,2015
RUS,2.9,2015
SLE,2.9,2015
GMB,2.8,2015
GTM,2.8,2015
KAZ,2.8,2015
KGZ,2.8,2015
LBN,2.8,2015
MDG,2.8,2015
TLS,2.8,2015
CMR,2.7,2015
