Country,Year,61006,43606,185606,185506,137906,137506,128306,68606,53506,52306,46006,44206,23806
ISR,2010,2.0,67.5,100.0,100.0,0.969,0.887,272.0,0.149,2.988,3.942,124.019,7.346,84.718
ITA,2010,0.9,53.68,99.0,100.0,0.97,0.871,116.0,0.125,0.468,1.223,157.886,59.325,73.825
JOR,2010,1.6,27.2,98.0,99.0,0.85,0.728,117.0,0.494,6.359,,91.165,7.262,74.111
JPN,2010,0.4,78.21,100.0,99.0,0.959,0.885,57.0,0.121,0.131,3.137,95.912,128.542,86.446
KAZ,2010,8.5,31.6,97.0,91.0,1.009,0.764,336.0,0.268,5.036,0.153,119.384,16.252,99.623
KEN,2010,4.7,7.2,31.0,54.0,0.918,0.533,116.0,0.614,0.445,0.786,59.406,42.031,28.566
KGZ,2010,16.8,16.3,95.0,85.0,0.959,0.636,183.0,0.365,9.861,0.155,97.292,5.422,95.63
KHM,2010,2.3,1.26,38.0,68.0,0.897,0.535,98.0,0.493,12.491,,56.95,14.312,16.176
KOR,2010,1.0,83.7,100.0,99.0,0.926,0.882,92.0,0.098,0.868,3.466,102.466,49.546,82.901
KWT,2010,2.0,61.4,100.0,100.0,0.989,0.794,139.0,0.215,1.13,0.101,132.998,2.992,52.459
LKA,2010,3.8,12.0,91.0,85.0,0.926,0.75,129.0,0.408,0.842,0.137,85.675,20.262,74.058
LSO,2010,37.4,3.86,30.0,68.0,1.022,0.461,122.0,0.565,0.403,,49.482,1.996,20.726
LTU,2010,7.0,62.12,90.0,94.0,1.039,0.824,293.0,0.168,2.331,0.783,156.571,3.124,90.96
LUX,2010,2.0,90.62,98.0,100.0,0.976,0.893,134.0,0.132,73.533,1.503,143.142,0.508,100.0
LVA,2010,3.3,68.42,90.0,98.0,1.041,0.817,320.0,0.208,1.833,0.611,108.837,2.119,98.707
MAR,2010,1.4,52.0,81.0,77.0,0.822,0.618,200.0,0.564,1.331,0.715,98.884,32.343,25.32
MDA,2010,6.5,32.3,75.0,86.0,1.004,0.681,155.0,0.286,4.102,0.44,62.421,4.086,93.789
MEX,2010,22.0,31.05,85.0,96.0,0.952,0.739,160.0,0.401,1.985,0.533,80.096,114.093,52.832
MKD,2010,2.1,51.9,93.0,95.0,0.797,0.735,122.0,,3.204,0.216,103.993,2.071,
MLT,2010,1.0,63.0,100.0,100.0,0.926,0.847,140.0,0.272,105.785,0.607,109.976,0.414,68.134
MMR,2010,1.6,0.25,67.0,68.0,,0.523,,0.517,1.819,,1.174,50.601,19.19
MNE,2010,2.4,37.5,94.0,96.0,0.955,0.793,233.0,0.216,18.323,,187.417,0.624,88.498
MNG,2010,8.8,10.2,56.0,77.0,1.021,0.697,274.0,0.406,23.526,0.244,92.3,2.72,84.713
MOZ,2010,3.6,4.17,21.0,40.0,0.888,0.396,63.0,0.605,12.393,0.423,30.7,23.532,10.903
MUS,2010,2.6,28.33,94.0,100.0,0.941,0.748,196.0,0.382,4.298,,95.428,1.248,
MYS,2010,1.9,56.3,99.0,97.0,0.956,0.773,137.0,0.309,4.269,1.036,120.032,28.208,68.216
NAM,2010,14.4,11.6,32.0,80.0,0.973,0.588,196.0,0.514,2.546,0.142,92.033,2.119,33.85
NIC,2010,13.7,10.0,68.0,81.0,0.94,0.614,118.0,0.52,5.593,,68.032,5.824,38.88
NLD,2010,0.9,90.72,98.0,100.0,0.965,0.911,86.0,0.054,13.671,1.725,114.962,16.683,88.835
NOR,2010,0.6,93.39,98.0,100.0,0.996,0.942,73.0,0.075,5.041,1.649,114.601,4.886,93.874
NZL,2010,1.0,80.46,100.0,100.0,0.963,0.899,193.0,0.186,0.195,,107.779,4.37,92.869
OMN,2010,,35.828,97.0,84.0,0.905,0.793,,0.328,2.119,,151.446,3.041,52.316
PAK,2010,7.7,8.0,49.0,89.0,0.719,0.524,44.0,0.578,1.14,,55.28,179.425,33.385
PAN,2010,12.6,40.1,74.0,93.0,0.987,0.758,344.0,0.52,8.659,0.145,182.457,3.643,61.136
PER,2010,,34.77,71.0,87.0,0.932,0.721,155.0,0.421,5.731,,100.301,29.028,59.115
PHL,2010,9.2,25.0,69.0,90.0,0.996,0.672,102.0,0.449,0.536,,88.489,93.967,66.557
PNG,2010,10.0,1.28,17.0,37.0,,0.51,60.0,0.667,0.202,,26.114,7.311,11.12
POL,2010,1.0,62.32,94.0,97.0,1.009,0.835,215.0,0.17,3.838,0.721,122.495,38.33,80.902
PRT,2010,1.2,53.3,99.0,100.0,0.994,0.822,111.0,0.141,3.548,1.533,115.235,10.596,41.303
PRY,2010,11.9,19.8,82.0,90.0,0.95,0.692,100.0,0.511,2.041,,94.764,6.248,35.925
QAT,2010,0.2,69.0,100.0,100.0,0.984,0.834,,0.58,3.733,,117.784,1.856,46.129
ROU,2010,2.0,39.93,79.0,100.0,0.985,0.797,138.0,0.365,1.933,0.456,118.993,20.472,87.277
RUS,2010,,43.0,88.0,96.0,1.033,0.78,571.0,0.316,2.831,1.13,165.661,143.479,90.889
SAU,2010,,41.0,99.0,99.0,0.875,0.81,,0.633,5.534,0.884,188.044,27.421,59.488
SGP,2010,0.4,71.0,100.0,100.0,0.973,0.909,268.0,0.099,22.967,2.013,143.916,5.131,76.198
SLV,2010,64.7,15.9,86.0,90.0,0.971,0.659,400.0,0.442,-0.613,0.078,124.523,6.184,41.645
SRB,2010,1.4,40.9,97.0,90.0,0.969,0.762,124.0,0.221,4.05,0.744,110.278,8.991,85.632
SVK,2010,1.5,75.71,98.0,99.0,0.991,0.829,186.0,0.195,2.366,0.616,109.635,5.404,
SVN,2010,0.7,70.0,99.0,100.0,1.007,0.881,66.0,0.126,0.665,2.058,103.847,2.043,95.43
SWE,2010,1.0,90.0,99.0,100.0,0.995,0.906,73.0,0.05,0.128,3.216,117.063,9.39,85.568
SWZ,2010,17.3,11.04,55.0,63.0,0.912,0.513,,0.577,3.056,,68.161,1.065,23.81
SYR,2010,2.2,20.7,93.0,96.0,0.834,0.644,,0.549,,,54.75,21.363,34.29
THA,2010,5.4,22.4,96.0,98.0,0.996,0.721,314.0,0.319,4.323,,106.743,67.195,38.124
TJK,2010,2.4,11.55,94.0,70.0,0.794,0.63,122.0,0.367,1.665,0.089,78.923,7.527,93.22
TTO,2010,35.6,48.5,93.0,96.0,0.984,0.788,278.0,0.354,2.479,0.048,142.623,1.328,59.63
TUN,2010,2.7,36.8,86.0,92.0,0.888,0.717,,0.313,3.029,0.69,104.504,10.635,39.273
TUR,2010,4.2,39.82,92.0,98.0,0.907,0.743,166.0,0.425,1.179,0.799,85.403,72.327,44.178
TZA,2010,8.4,2.9,19.0,44.0,0.921,0.487,,,5.664,0.38,47.318,44.347,9.487
UGA,2010,9.3,12.5,18.0,39.0,0.855,0.489,92.0,0.569,2.694,0.476,39.559,32.428,28.75
UKR,2010,4.3,23.3,96.0,95.0,1.009,0.732,336.0,0.337,4.743,0.833,117.768,45.792,93.55
URY,2010,6.1,46.4,95.0,98.0,1.006,0.774,258.0,0.327,5.439,0.341,132.087,3.359,49.498
USA,2010,4.8,71.69,100.0,99.0,0.996,0.911,738.0,0.254,1.761,2.74,92.268,309.011,94.77
UZB,2010,,15.9,99.0,96.0,0.945,0.665,,,4.161,0.195,73.475,28.516,
VEN,2010,45.1,37.37,94.0,96.0,1.024,0.753,141.0,0.475,0.403,0.188,98.032,28.44,58.356
VNM,2010,1.5,30.65,71.0,89.0,0.982,0.653,,0.324,6.901,,126.831,87.968,68.294
ZAF,2010,30.8,24.0,69.0,90.0,0.975,0.662,317.0,0.432,0.984,0.737,98.35,51.217,71.606
ZMB,2010,5.9,10.0,25.0,56.0,0.917,0.531,120.0,0.587,8.533,,40.034,13.606,34.484
ARE,2011,0.6,78.0,99.0,96.0,0.956,0.826,,0.237,2.04,0.486,131.08,8.947,65.145
